Date,Open,High,Low,Close,Adj Close,Volume,timestamp
39559.00,6.1,6.13,5.89,5.96,4.473281,21329995,
39560.00,6,6,5.59,5.84,4.383215,180552000,
39561.00,5.74,5.94,5.72,5.82,4.368205,26699848,
39562.00,6.05,6.11,5.9,5.99,4.495798,43520772,
39563.00,6.08,6.08,5.72,5.78,4.338182,21838196,
39566.00,5.85,5.88,5.76,5.8,4.353193,11865887,
39567.00,5.88,6.02,5.8,6,4.503303,21907334,
39568.00,6.06,6.1,5.91,5.96,4.473281,15225352,
39570.00,5.96,6.3,5.96,6.21,4.660919,53186234,
39573.00,6.3,6.3,6.08,6.1,4.578359,21263810,
39574.00,6.1,6.1,6.01,6.02,4.518315,15028146,
39575.00,6.03,6.06,5.67,5.75,4.315665,26646790,
39576.00,5.8,5.92,5.66,5.88,4.413238,18838078,
39577.00,5.85,6.26,5.83,6.23,4.67593,45432782,
39581.00,6.23,6.25,6.09,6.21,4.660919,28394525,
39582.00,6.1,6.2,6.07,6.19,4.645908,10573472,
39583.00,6.18,6.43,6.14,6.4,4.803524,59429305,
39584.00,6.21,6.44,6.2,6.34,4.758491,30467901,
39587.00,6.41,6.62,6.33,6.61,4.961139,44744688,
39588.00,6.62,6.67,6.33,6.44,4.833545,53100799,
39589.00,6.67,6.75,6.3,6.64,4.983655,55437652,
39590.00,6.42,6.7,6.4,6.45,4.841051,39177115,
39591.00,6.5,6.53,6,6.01,4.510809,119625585,
39594.00,6.312,6.312,5.88,6.04,4.533326,66898200,
39595.00,6.01,6.14,6.01,6.12,4.593369,22418000,
39596.00,6.14,6.17,6.09,6.14,4.60838,18467363,
39597.00,6.2,6.2,5.78,5.84,4.383215,70304627,
39598.00,5.87,5.88,5.72,5.73,4.300655,74579032,
39601.00,5.77,5.93,5.6,5.88,4.413238,87664341,
39602.00,5.83,5.87,5.76,5.83,4.37571,53093332,
39603.00,5.85,6.07,5.82,5.96,4.473281,47328722,
39604.00,5.98,6,5.8,5.82,4.368205,26710224,
39605.00,5.89,5.98,5.88,5.91,4.435753,35350171,
39609.00,5.91,5.91,5.5,5.58,4.188072,42881350,
39610.00,5.58,5.62,5.39,5.49,4.120523,57973046,
39611.00,5.44,5.44,5.2,5.3,3.977918,67851199,
39612.00,5.3,5.3,5.22,5.26,3.947897,33523874,
39615.00,5.3,5.54,5.26,5.35,4.015445,40448533,
39616.00,5.42,5.52,5.38,5.45,4.0905,31162148,
39617.00,5.41,5.53,5.36,5.52,4.143038,23384911,
39618.00,5.45,5.45,5.26,5.28,3.962907,25051947,
39619.00,5.35,5.43,5.26,5.39,4.045468,26996603,
39622.00,5.3,5.39,5.2,5.33,4.000435,24743580,
39623.00,5.42,5.54,5.4,5.44,4.082995,30368545,
39624.00,5.47,5.6,5.47,5.52,4.143038,13200107,
39625.00,5.58,5.72,5.57,5.67,4.255621,33747460,
